State/UT,Confirmed,Recovered,Deaths,report_date
Haryana,33,12,0,29/03/20
Himachal Pradesh,3,0,1,29/03/20
Jammu and Kashmir,31,1,1,29/03/20
Karnataka,76,5,3,29/03/20
Kerala,182,15,1,29/03/20
Ladakh,13,3,0,29/03/20
Madhya Pradesh,30,0,2,29/03/20
Maharashtra,186,25,6,29/03/20
Manipur,1,0,0,29/03/20
Mizoram,1,0,0,29/03/20
Odisha,3,0,0,29/03/20
Puducherry,1,0,0,29/03/20
Punjab,38,1,1,29/03/20
Rajasthan,54,3,0,29/03/20
Tamil Nadu,42,2,1,29/03/20
Telengana,66,1,1,29/03/20
Uttarakhand,6,1,0,29/03/20
Uttar Pradesh,55,11,0,29/03/20
West Bengal,17,0,1,29/03/20
India,979,87,25,29/03/20
Andhra Pradesh,2,0,0,19/03/20
Chandigarh,1,0,0,19/03/20
Chhattisgarh,1,0,0,19/03/20
Delhi,12,2,1,19/03/20
Haryana,17,0,0,19/03/20
India,184,14,4,19/03/20
Jammu and Kashmir,4,0,0,19/03/20
Karnataka,15,0,1,19/03/20
Kerala,28,3,0,19/03/20
Ladakh,8,0,0,19/03/20
Maharashtra,49,0,1,19/03/20
Orissa,1,0,0,19/03/20
Puducherry,1,0,0,19/03/20
Punjab,2,0,1,19/03/20
Rajasthan,7,3,0,19/03/20
Tamil Nadu,2,0,0,19/03/20
Telengana,13,1,0,19/03/20
Uttar Pradesh,19,5,0,19/03/20
Uttarakhand,1,0,0,19/03/20
West Bengal,1,0,0,19/03/20
Andhra Pradesh,2,0,0,20/03/20
Chhattisgarh,1,0,0,20/03/20
Delhi,17,3,1,20/03/20
Gujarat,2,0,0,20/03/20
Haryana,17,0,0,20/03/20
India,195,20,4,20/03/20
Jammu and Kashmir,4,0,0,20/03/20
Karnataka,15,0,1,20/03/20
Kerala,28,3,0,20/03/20
Ladakh,10,0,0,20/03/20
Maharashtra,47,0,1,20/03/20
Orissa,1,0,0,20/03/20
Puducherry,1,0,0,20/03/20
Punjab,2,0,1,20/03/20
Rajasthan,7,3,0,20/03/20
Tamil Nadu,3,1,0,20/03/20
Telengana,16,1,0,20/03/20
Uttar Pradesh,19,9,0,20/03/20
Uttarakhand,1,0,0,20/03/20
West Bengal,1,0,0,20/03/20
Andhra Pradesh,3,0,0,21/03/20
Chandigarh,1,0,0,21/03/20
Chhattisgarh,1,0,0,21/03/20
Delhi,26,5,1,21/03/20
Gujarat,7,0,0,21/03/20
Haryana,17,0,0,21/03/20
Himachal Pradesh,2,0,0,21/03/20
India,283,23,4,21/03/20
Jammu and Kashmir,4,0,0,21/03/20
Karnataka,15,1,1,21/03/20
Kerala,40,3,0,21/03/20
Ladakh,13,0,0,21/03/20
Madhya Pradesh,4,0,0,21/03/20
Maharashtra,63,0,1,21/03/20
Orissa,2,0,0,21/03/20
Puducherry,1,0,0,21/03/20
Punjab,13,0,1,21/03/20
Rajasthan,17,3,0,21/03/20
Tamil Nadu,3,1,0,21/03/20
Telengana,21,1,0,21/03/20
Uttar Pradesh,24,9,0,21/03/20
Uttarakhand,3,0,0,21/03/20
West Bengal,3,0,0,21/03/20
Andhra Pradesh,5,0,0,22/03/20
Bihar,2,0,1,22/03/20
Chandigarh,5,0,0,22/03/20
Chhattisgarh,1,0,0,22/03/20
Delhi,29,5,1,22/03/20
Gujarat,18,0,1,22/03/20
Haryana,21,0,0,22/03/20
Himachal Pradesh,2,0,0,22/03/20
India,360,24,7,22/03/20
Jammu and Kashmir,4,0,0,22/03/20
Karnataka,26,2,1,22/03/20
Kerala,52,3,0,22/03/20
Ladakh,13,0,0,22/03/20
Madhya Pradesh,4,0,0,22/03/20
Maharashtra,67,0,2,22/03/20
Orissa,2,0,0,22/03/20
Puducherry,1,0,0,22/03/20
Punjab,21,0,1,22/03/20
Rajasthan,24,3,0,22/03/20
Tamil Nadu,7,1,0,22/03/20
Telengana,22,1,0,22/03/20
Uttar Pradesh,27,9,0,22/03/20
Uttarakhand,3,0,0,22/03/20
West Bengal,4,0,0,22/03/20
Andhra Pradesh,7,0,0,23/03/20
Bihar,2,0,1,23/03/20
Chandigarh,6,0,0,23/03/20
Chhattisgarh,1,0,0,23/03/20
Delhi,29,5,1,23/03/20
Gujarat,29,0,1,23/03/20
Haryana,26,11,0,23/03/20
Himachal Pradesh,3,0,1,23/03/20
India,434,35,9,23/03/20
Jammu and Kashmir,4,0,0,23/03/20
Karnataka,33,2,1,23/03/20
Kerala,67,3,0,23/03/20
Ladakh,13,0,0,23/03/20
Madhya Pradesh,6,0,0,23/03/20
Maharashtra,74,0,2,23/03/20
Orissa,2,0,0,23/03/20
Puducherry,1,0,0,23/03/20
Punjab,21,0,1,23/03/20
Rajasthan,28,3,0,23/03/20
Tamil Nadu,9,1,0,23/03/20
Telengana,32,1,0,23/03/20
Uttar Pradesh,31,9,0,23/03/20
Uttarakhand,3,0,0,23/03/20
West Bengal,7,0,1,23/03/20
Andhra Pradesh,8,0,0,24/03/20
Bihar,3,0,1,24/03/20
Chandigarh,7,0,0,24/03/20
Chhattisgarh,1,0,0,24/03/20
Delhi,30,6,2,24/03/20
Gujarat,33,0,1,24/03/20
Haryana,28,11,0,24/03/20
Himachal Pradesh,3,0,1,24/03/20
India,519,40,10,24/03/20
Jammu and Kashmir,4,0,0,24/03/20
Karnataka,37,3,1,24/03/20
Kerala,95,4,0,24/03/20
Ladakh,13,0,0,24/03/20
Madhya Pradesh,7,0,0,24/03/20
Maharashtra,89,0,2,24/03/20
Manipur,1,0,0,24/03/20
Orissa,2,0,0,24/03/20
Puducherry,1,0,0,24/03/20
Punjab,29,0,1,24/03/20
Rajasthan,32,3,0,24/03/20
Tamil Nadu,15,1,0,24/03/20
Telengana,35,1,0,24/03/20
Uttar Pradesh,33,11,0,24/03/20
Uttarakhand,4,0,0,24/03/20
West Bengal,9,0,1,24/03/20
Andhra Pradesh,9,0,0,25/03/20
Bihar,3,0,1,25/03/20
Chandigarh,7,0,0,25/03/20
Chhattisgarh,1,0,0,25/03/20
Delhi,31,6,1,25/03/20
Gujarat,33,0,1,25/03/20
Haryana,28,11,0,25/03/20
Himachal Pradesh,3,0,1,25/03/20
India,562,41,9,25/03/20
Jammu and Kashmir,7,1,0,25/03/20
Karnataka,41,3,1,25/03/20
Kerala,109,4,0,25/03/20
Ladakh,13,0,0,25/03/20
Madhya Pradesh,9,0,0,25/03/20
Maharashtra,101,0,2,25/03/20
Manipur,1,0,0,25/03/20
Mizoram,1,0,0,25/03/20
Orissa,2,0,0,25/03/20
Puducherry,1,0,0,25/03/20
Punjab,29,0,1,25/03/20
Rajasthan,32,3,0,25/03/20
Tamil Nadu,18,1,0,25/03/20
Telengana,35,1,0,25/03/20
Uttar Pradesh,35,11,0,25/03/20
Uttarakhand,4,0,0,25/03/20
West Bengal,9,0,1,25/03/20
Kerala,1,0,0,30/01/20
Kerala,1,0,0,31/01/20
Kerala,2,0,0,02/01/20
Kerala,3,0,0,02/02/20
Kerala,3,0,0,02/03/20
Kerala,3,0,0,02/04/20
Kerala,3,0,0,02/05/20
Kerala,3,0,0,02/06/20
Kerala,3,0,0,02/07/20
Kerala,3,0,0,02/08/20
Kerala,3,0,0,02/09/20
Kerala,3,0,0,02/10/20
Kerala,3,0,0,02/11/20
Kerala,3,0,0,02/12/20
Kerala,3,0,0,13/02/20
Kerala,3,0,0,14/02/20
Kerala,3,0,0,15/02/20
Kerala,3,0,0,16/02/20
Kerala,3,0,0,17/02/20
Kerala,3,0,0,18/02/20
Kerala,3,0,0,19/02/20
Kerala,3,0,0,20/02/20
Kerala,3,0,0,21/02/20
Kerala,3,0,0,22/02/20
Kerala,3,0,0,23/02/20
Kerala,3,0,0,24/02/20
Kerala,3,0,0,25/02/20
Kerala,3,0,0,26/02/20
Kerala,3,0,0,27/02/20
Kerala,3,0,0,28/02/20
Kerala,3,0,0,29/02/20
Kerala,3,0,0,03/01/20
Telengana,1,0,0,03/02/20
Kerala,3,0,0,03/02/20
Delhi,1,0,0,03/02/20
Telengana,1,0,0,03/03/20
Rajasthan,1,0,0,03/03/20
Kerala,3,3,0,03/03/20
Delhi,1,0,0,03/03/20
Uttar Pradesh,6,0,0,03/04/20
Kerala,3,3,0,03/04/20
Haryana,2,0,0,03/04/20
Delhi,1,0,0,03/04/20
Telengana,1,0,0,03/04/20
Rajasthan,15,0,0,03/04/20
Delhi,2,0,0,03/05/20
Haryana,2,0,0,03/05/20
Kerala,3,3,0,03/05/20
Rajasthan,15,0,0,03/05/20
Telengana,1,0,0,03/05/20
Uttar Pradesh,7,0,0,03/05/20
Delhi,3,0,0,03/06/20
Haryana,2,0,0,03/06/20
Kerala,3,3,0,03/06/20
Rajasthan,15,0,0,03/06/20
Uttar Pradesh,7,0,0,03/06/20
Telengana,1,0,0,03/06/20
Kerala,3,3,0,03/07/20
Uttar Pradesh,7,0,0,03/07/20
Ladakh,2,0,0,03/07/20
Telengana,1,0,0,03/07/20
Tamil Nadu,1,0,0,03/07/20
Delhi,3,0,0,03/07/20
Haryana,2,0,0,03/07/20
Rajasthan,15,0,0,03/07/20
Ladakh,2,0,0,03/08/20
Telengana,1,0,0,03/08/20
Tamil Nadu,1,0,0,03/08/20
Rajasthan,15,0,0,03/08/20
Kerala,8,3,0,03/08/20
Haryana,2,0,0,03/08/20
Delhi,3,0,0,03/08/20
Uttar Pradesh,7,0,0,03/08/20
Ladakh,2,0,0,03/09/20
Karnataka,1,0,0,03/09/20
Kerala,9,3,0,03/09/20
Maharashtra,2,0,0,03/09/20
Punjab,1,0,0,03/09/20
Rajasthan,15,0,0,03/09/20
Tamil Nadu,1,0,0,03/09/20
Telengana,1,0,0,03/09/20
Jammu and Kashmir,1,0,0,03/09/20
Uttar Pradesh,7,0,0,03/09/20
Haryana,2,0,0,03/09/20
Delhi,4,0,0,03/09/20
Uttar Pradesh,7,0,0,03/10/20
Ladakh,2,0,0,03/10/20
Delhi,4,0,0,03/10/20
Haryana,2,0,0,03/10/20
Karnataka,4,0,0,03/10/20
Kerala,15,3,0,03/10/20
Maharashtra,5,0,0,03/10/20
Punjab,1,0,0,03/10/20
Rajasthan,15,0,0,03/10/20
Tamil Nadu,1,0,0,03/10/20
Telengana,1,0,0,03/10/20
Jammu and Kashmir,1,0,0,03/10/20
Maharashtra,2,0,0,03/11/20
Delhi,5,0,0,03/11/20
Haryana,14,0,0,03/11/20
Kerala,17,3,0,03/11/20
Rajasthan,3,0,0,03/11/20
Telengana,1,0,0,03/11/20
Uttar Pradesh,9,0,0,03/11/20
Ladakh,2,0,0,03/11/20
Tamil Nadu,1,0,0,03/11/20
Jammu and Kashmir,1,0,0,03/11/20
Punjab,1,0,0,03/11/20
Karnataka,4,0,0,03/11/20
Delhi,6,0,0,03/12/20
Haryana,14,0,0,03/12/20
Kerala,17,3,0,03/12/20
Rajasthan,3,0,0,03/12/20
Telengana,1,0,0,03/12/20
Uttar Pradesh,11,0,0,03/12/20
Ladakh,3,0,0,03/12/20
Tamil Nadu,1,0,0,03/12/20
Jammu and Kashmir,1,0,0,03/12/20
Punjab,1,0,0,03/12/20
Karnataka,4,0,0,03/12/20
Maharashtra,11,0,0,03/12/20
Andhra Pradesh,1,0,0,03/12/20
Delhi,6,0,0,13/03/20
Haryana,14,0,0,13/03/20
Kerala,19,3,0,13/03/20
Rajasthan,3,0,0,13/03/20
Telengana,1,0,0,13/03/20
Uttar Pradesh,11,0,0,13/03/20
Ladakh,3,0,0,13/03/20
Tamil Nadu,1,0,0,13/03/20
Jammu and Kashmir,1,0,0,13/03/20
Punjab,1,0,0,13/03/20
Karnataka,6,0,1,13/03/20
Maharashtra,14,0,0,13/03/20
Andhra Pradesh,1,0,0,13/03/20
Delhi,7,1,1,14/03/20
Haryana,14,0,0,14/03/20
Kerala,19,3,0,14/03/20
Rajasthan,3,1,0,14/03/20
Telengana,1,0,0,14/03/20
Uttar Pradesh,12,5,0,14/03/20
Ladakh,3,0,0,14/03/20
Tamil Nadu,1,0,0,14/03/20
Jammu and Kashmir,2,0,0,14/03/20
Punjab,1,0,0,14/03/20
Karnataka,6,0,1,14/03/20
Maharashtra,14,0,0,14/03/20
Andhra Pradesh,1,0,0,14/03/20
Andhra Pradesh,1,0,0,15/03/20
Delhi,7,2,1,15/03/20
Haryana,14,0,0,15/03/20
Karnataka,6,0,1,15/03/20
Kerala,22,3,0,15/03/20
Maharashtra,32,0,0,15/03/20
Punjab,1,0,0,15/03/20
Rajasthan,4,3,0,15/03/20
Tamil Nadu,1,0,0,15/03/20
Telengana,3,1,0,15/03/20
Jammu and Kashmir,2,0,0,15/03/20
Ladakh,3,0,0,15/03/20
Uttar Pradesh,13,4,0,15/03/20
Uttarakhand,1,0,0,15/03/20
Andhra Pradesh,1,0,0,16/03/20
Delhi,7,2,1,16/03/20
Haryana,14,0,0,16/03/20
Karnataka,6,0,1,16/03/20
Kerala,23,3,0,16/03/20
Maharashtra,32,0,0,16/03/20
Odisha,1,0,0,16/03/20
Punjab,1,0,0,16/03/20
Rajasthan,4,3,0,16/03/20
Tamil Nadu,1,0,0,16/03/20
Telengana,3,1,0,16/03/20
Jammu and Kashmir,3,0,0,16/03/20
Ladakh,4,0,0,16/03/20
Uttar Pradesh,13,4,0,16/03/20
Uttarakhand,1,0,0,16/03/20
Andhra Pradesh,1,0,0,17/03/20
Delhi,8,2,1,17/03/20
Haryana,15,0,0,17/03/20
Karnataka,11,0,1,17/03/20
Kerala,26,3,0,17/03/20
Maharashtra,39,0,1,17/03/20
Odisha,1,0,0,17/03/20
Punjab,1,0,0,17/03/20
Rajasthan,4,3,0,17/03/20
Tamil Nadu,1,0,0,17/03/20
Telengana,5,1,0,17/03/20
Jammu and Kashmir,3,0,0,17/03/20
Ladakh,6,0,0,17/03/20
Uttar Pradesh,15,5,0,17/03/20
Uttarakhand,1,0,0,17/03/20
Andhra Pradesh,1,0,0,18/03/20
Delhi,10,2,1,18/03/20
Haryana,17,0,0,18/03/20
Karnataka,11,0,1,18/03/20
Kerala,27,3,0,18/03/20
Maharashtra,42,0,1,18/03/20
Odisha,1,0,0,18/03/20
Pondicherry,1,0,0,18/03/20
Punjab,1,0,0,18/03/20
Rajasthan,4,3,0,18/03/20
Tamil Nadu,1,0,0,18/03/20
Telengana,6,1,0,18/03/20
Jammu and Kashmir,3,0,0,18/03/20
Ladakh,8,0,0,18/03/20
Uttar Pradesh,16,5,0,18/03/20
Uttarakhand,1,0,0,18/03/20
West Bengal,1,0,0,18/03/20
India,1,0,0,30/01/20
India,1,0,0,31/01/20
India,2,0,0,02/01/20
India,3,0,0,02/02/20
India,3,0,0,02/03/20
India,3,0,0,02/04/20
India,3,0,0,02/05/20
India,3,0,0,02/06/20
India,3,0,0,02/07/20
India,3,0,0,02/08/20
India,3,0,0,02/09/20
India,3,0,0,02/10/20
India,3,0,0,02/11/20
India,3,0,0,02/12/20
India,3,0,0,13/02/20
India,3,0,0,14/02/20
India,3,0,0,15/02/20
India,3,0,0,16/02/20
India,3,0,0,17/02/20
India,3,0,0,18/02/20
